top_k,rebalance_anchor,risk_budget_pct_percent,risk_budget_pct,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
1,4,0.8,0.008,ok,,0.9530085808829709,0.12666090877855907,4.302596476816436,0.13464298002140687,-0.20555136711461652,669,1.5838271582094159,0.61620076069809,6.094506816206242,2.078279877245325,,,,
1,4,0.9,0.009000000000000001,ok,,0.9325098862385695,0.13674216443237075,5.00627105763016,0.14940814632683952,-0.22633809868812893,672,1.548872888077386,0.6041500093220614,6.8823222691975845,1.9868608165062522,,,,
1,4,1.0,0.01,ok,,0.9108672603652762,0.1454728061871926,5.684743807828737,0.1638444018403822,-0.24664510558113806,680,1.5117112857147064,0.5898061745212166,7.709832228764355,1.8868478829468298,,,,
1,4,1.1,0.011000000000000001,ok,,0.8841364856860221,0.1518014758074142,6.220314970344653,0.1777151238100664,-0.264565730584024,682,1.463993249222861,0.5737760346826297,8.549511492894787,1.7755573044561825,,,,
1,4,1.2,0.012,ok,,0.8650696812530682,0.15814730613647643,6.797118342142632,0.19076458819306708,-0.28252751278588706,700,1.432751689993369,0.5597589579048469,9.38901483429529,1.6843865829118851,,,,
1,4,1.3,0.013000000000000001,ok,,0.849030930125037,0.1640469272691094,7.3714652693647995,0.20325077829437882,-0.2997142758874449,701,1.4067730507123968,0.547344389196582,10.207958669757593,1.6070492894443216,,,,
1,4,1.4,0.013999999999999999,ok,,0.8366012884625025,0.16978118311325896,7.967142389868055,0.21511164553256795,-0.3173211493135447,754,1.3861564198263325,0.5350452797758474,10.963699065076657,1.5485757325652378,,,,
1,4,1.5,0.015,ok,,0.830950642714074,0.17626850194495924,8.688380447795312,0.22616814463193669,-0.3358803473623122,754,1.3771194810283636,0.5247955211705775,11.614154477302609,1.5177041280916186,,,,
1,4,1.6,0.016,ok,,0.8257319803809337,0.18209110852293175,9.381220531012243,0.23646561509948386,-0.35346661609907615,754,1.3683107749112642,0.5151578684644207,12.186078036693452,1.4942552310483974,,,,
1,4,1.7,0.017,ok,,0.8205734654494459,0.18726544797163225,10.035248890715177,0.24611872147623629,-0.3706950049898263,754,1.3589120116183062,0.505173917778503,12.743736182042005,1.4694705327902167,,,,
1,4,1.8,0.018000000000000002,ok,,0.8164872219189853,0.19227757962016057,10.705070323988295,0.2553521648951415,-0.38756958595966806,754,1.350987512938435,0.4961111154892574,13.271285863876455,1.4488240370402024,,,,
1,4,1.9,0.019,ok,,0.8110377585069373,0.19650227682075028,11.298775361224394,0.26430834282684357,-0.40409447696474654,754,1.3400296880602809,0.4862780563019011,13.802816961916594,1.423638938072717,,,,
1,4,2.0,0.02,ok,,0.8035400943257994,0.1994768007003791,11.733434463957087,0.27267097935433937,-0.420273838751531,754,1.325216320707834,0.4746353027658028,14.361957258034325,1.3889249015052483,,,,
1,4,2.1,0.021,ok,,0.7985455095245109,0.20277003206036226,12.231279029465847,0.2805485000214295,-0.43611187166195753,824,1.3152420103884155,0.46494958114218676,14.923369165289603,1.3587416475093765,,,,
1,4,2.2,0.022000000000000002,ok,,0.7980907297984717,0.20707068489648517,12.90864522697814,0.28775299281578515,-0.4512450482313709,825,1.313643457556364,0.4588874397804183,15.455397699914268,1.339795254169576,,,,
1,4,2.3,0.023,ok,,0.7941273883781886,0.20981261610233948,13.357168179995837,0.2945493759055632,-0.4655047979333501,825,1.305275479706087,0.4507206306655081,15.981463234395047,1.3128498500111314,,,,
1,4,2.4,0.024,ok,,0.7923423004500658,0.21305449664748854,13.904787668405369,0.30104443745825404,-0.47948330436222364,825,1.3006842697674452,0.4443418461272166,16.473028075590797,1.293353569664498,,,,
1,4,2.5,0.025,ok,,0.7944618017102861,0.21723078323390377,14.638843471201213,0.30676831318342535,-0.49279055952271544,825,1.303348067022061,0.44081766388605176,16.92906578047306,1.2831823447958364,,,,
1,4,2.6,0.026000000000000002,ok,,0.7992240982222354,0.2216421360765588,15.450572033935472,0.31117903855453866,-0.5024633263939731,825,1.3114453308268115,0.44111107106506103,17.251152351108107,1.284796120082505,,,,
1,4,2.7,0.027000000000000003,ok,,0.8030187571437788,0.2254152324305192,16.17571604395907,0.3150733185636971,-0.5113405197328483,825,1.3178224786814203,0.44083193827136596,17.510004717914768,1.2873510662158374,,,,
1,4,2.8,0.027999999999999997,ok,,0.803512145398664,0.22778722974267107,16.64666242900145,0.31873917819437275,-0.5211078879630178,825,1.3181840033266812,0.4371210549759262,17.79819370829402,1.2798334116148058,,,,
1,4,2.9,0.028999999999999998,ok,,0.8015653911624694,0.22900290657015487,16.89264864056516,0.3220949405440793,-0.5301740469000129,825,1.3143947523484591,0.4319391111450297,18.09033805515872,1.2658851695966586,,,,
1,4,3.0,0.03,ok,,0.8000167174694183,0.23010118197553453,17.117612928742837,0.32501503561091194,-0.5347648329129964,825,1.3119981466513626,0.4302848052332021,18.285034894372014,1.25841259425957,,,,
1,5,0.1,0.001,ok,,2.0969535473367875,0.03846082635883663,0.6953779750484081,0.018071479698471997,-0.01758055018594873,325,3.5062584747130012,2.1876918499158506,0.47386968615646896,8.116329759514748,,,,
1,5,0.2,0.002,ok,,1.3453071170593427,0.04800922439794375,0.9269437258466751,0.035313328151433114,-0.041317793936546554,357,2.191751940173674,1.1619503323839966,1.1917781918006236,4.028369098230266,,,,
