top_k,rebalance_anchor,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
10,5,ok,44608,0.7457033123630001,0.08036164729072648,2.035453780469429,0.11208311147283692,-0.21943135197866548,576,1.1322059089106622,0.3662268247726959,4.227930394155412,1.900732505005675,0.6101694915254238,3.2352500095905197,0.48967478251716495,
10,6,ok,45299,0.6862186646311492,0.07428125100053506,1.7990617887075748,0.11387108513403073,-0.21695211047199303,599,1.0374422642050407,0.34238547317623,4.469806595402253,1.6618448564853452,0.6129032258064516,2.8051963609797523,0.474910470797191,
10,7,ok,50461,0.6672175404325738,0.07191978811906075,1.711962405127287,0.11382051271489349,-0.21647590552025175,597,0.9970947653082541,0.332229990890753,4.448990920078463,1.616541580125148,0.635593220338983,2.636313263786792,0.4973673180281233,
10,8,ok,53284,0.6808080921934567,0.07376355023868442,1.7797472975306645,0.11412137997533946,-0.21675562769938894,576,1.0211212347098746,0.34030742833115546,4.308659922822426,1.7119835763311981,0.5967741935483871,3.0165494699934134,0.46310298727027716,
10,9,ok,46448,0.6626063867771791,0.07184357716808165,1.7091939310598607,0.11464542564064453,-0.21675562769938872,568,0.99436366383584,0.33144965106843344,4.165899471029644,1.724563390636135,0.6178861788617886,2.855831301690246,0.484084920744037,
10,10,ok,46876,0.626368066535507,0.06745485144689867,1.5541302361489162,0.1147481567663434,-0.216530220525621,576,0.9361047683496426,0.3115262677105945,4.425130373943026,1.5243585102961117,0.6410256410256411,2.473991338199651,0.4959263622077984,
10,11,ok,50225,0.6377665439353589,0.06762802151092817,1.5600888500247696,0.11256236700303729,-0.20398223182759612,604,0.9512661829340933,0.33153878602567083,4.390848022399677,1.5402041055834188,0.6386554621848739,2.4677260068225353,0.4922273186972602,
10,12,ok,41175,0.675128525301801,0.07202348988393759,1.7157337508329387,0.11238942692336464,-0.19416668858747776,604,1.009778614773879,0.37093638670924184,4.24420137062489,1.6969856892848911,0.6115702479338843,3.00856711825991,0.4824623580986809,
10,13,ok,43866,0.6971505054679473,0.0749395440372167,1.8238018642039142,0.11280341570624727,-0.20466253526255562,576,1.0410421547585067,0.3661615153016596,4.352048858094763,1.7219371032066877,0.628099173553719,2.8716082754689944,0.49858957796462644,
10,14,ok,43007,0.6969639357268671,0.07487638409184139,1.8214193832306549,0.1127394068935155,-0.21519409402462042,576,1.0415156294882995,0.3479481369190121,4.68796701040542,1.597203732996534,0.6209677419354839,2.803529582775781,0.4857695045445891,
10,15,ok,43414,0.7379711659452006,0.0794289433152453,1.9980252756632169,0.11209414387459389,-0.21527986694137358,575,1.1131808146737834,0.36895667227849,4.589316697505563,1.7307357184222527,0.6178861788617886,3.114312995625418,0.4951901551560933,
10,16,ok,41210,0.7471744661172521,0.08007220940999704,2.0237926539548825,0.1114089345812312,-0.21527986694137402,599,1.1249695085257931,0.37194471804371126,4.568828828203634,1.752576260150235,0.6115702479338843,3.248381387575379,0.4919938479607139,
10,17,ok,43075,0.7330109114870705,0.07863352950175773,1.9664457906444857,0.11180467653372468,-0.2206754925485831,599,1.0999265025047786,0.3563310478822022,4.7367161566326725,1.6600853186368303,0.6198347107438017,3.0805247619072107,0.49642544815412826,
10,18,ok,43089,0.7239509890827164,0.07768293202458576,1.9291112120101865,0.11201860029856255,-0.2251458149153026,599,1.0880639788071036,0.3450338708441426,4.899491488415461,1.5855305026707804,0.616,2.830082771571347,0.48031492256786834,
10,19,ok,40580,0.7584530643671922,0.08164592370009083,2.087702321281921,0.1117167856937879,-0.2166446719532834,568,1.1455823332450172,0.3768655973117894,4.604670180372437,1.773111221909212,0.6178861788617886,3.0096424378926323,0.4909229833913761,
10,20,ok,39784,0.7706861015420072,0.08376244036384706,2.1756384933216033,0.11262068551819006,-0.22529502772193444,576,1.1543269714141167,0.37179000890880315,4.763031021127073,1.758595314460631,0.5702479338842975,3.606606058016175,0.4510910148300194,
10,21,ok,42409,0.7410965488592629,0.08065878322862474,2.0474685667304393,0.11335919460269195,-0.22740481464230733,599,1.1095180948853762,0.35469250444629175,4.669764753126565,1.7272558146450732,0.6016260162601627,2.970374702893123,0.4675102821907121,
10,22,ok,42998,0.7815994653178184,0.08591785032933741,2.2675808757418516,0.1137534077534806,-0.2206908507375539,599,1.1725530585394404,0.38931315023798213,4.4247263135792485,1.941766433455107,0.6115702479338843,3.2001958787776292,0.49019338014837754,
10,23,ok,43754,0.7632077604417098,0.08320007870433344,2.1520491763326595,0.11311623113722072,-0.22255178727554448,530,1.142410681517197,0.37384592468503636,4.56595251580322,1.8221844930793656,0.6554621848739496,2.544203042715491,0.5200414620222401,
10,24,ok,45281,0.7555446578569865,0.08261052272368108,2.1274942593658466,0.11361870898863811,-0.22474717879479988,524,1.1290405894142928,0.3675708997402217,4.350343117034309,1.8989426925938167,0.6504065040650406,2.757786147027601,0.5236405123249782,
10,25,ok,43495,0.7346224324321979,0.07927614887156764,1.9919348722616026,0.11247920798638601,-0.22602868168834334,590,1.0981801065100834,0.35073490797453977,4.545330484210783,1.7441228783462717,0.6178861788617886,2.9435698156226056,0.4880731134096995,
10,26,ok,43782,0.7294274322254105,0.07827409442159872,1.9522772819727887,0.1119205169636272,-0.22550388544899402,509,1.0904539232383907,0.3471075199691106,4.414024199665937,1.7733046055235193,0.639344262295082,2.8050652349680676,0.5107712319038571,
10,27,ok,48830,0.6758919957235692,0.07199888167015245,1.7148383770154956,0.11219594613864786,-0.22781940362012065,556,1.0077134142686013,0.31603489661577544,4.576142425660775,1.5733531645872258,0.6050420168067226,2.872410811979024,0.4675414957997151,
10,28,ok,44613,0.6988198580046916,0.0735652037276191,1.772380253985148,0.11029400485665428,-0.2201756741654457,554,1.0471892546292245,0.33412048813503487,4.359629314957129,1.6874187783633279,0.6239316239316239,2.9142404109178117,0.4948865476711046,
11,1,ok,43391,0.7474813821116291,0.07572549224076286,1.8536059152774573,0.10503849519509353,-0.18656716417910413,588,1.1351069673081156,0.40588863841048967,3.7392543339014273,2.025149547978276,0.6355140186915887,3.8211395487527517,0.5401272952657504,
11,2,ok,45330,0.7616012871783486,0.07742500123501594,1.9190566860813911,0.10518630885267803,-0.18656716417910413,568,1.1523116861097773,0.4149980066196862,3.7999994233780554,2.0375003416760538,0.6346153846153846,3.7563089825541507,0.5373431375554083,
11,3,ok,45563,0.7839381082125667,0.07919597625211683,1.9887437893647877,0.10414110804934178,-0.18656716417910413,528,1.1937354272582326,0.424490432711347,3.7171018751894063,2.1305839579142924,0.6486486486486487,3.5764685243721765,0.5504089049022589,
11,4,ok,45837,0.8020071897160038,0.08122470352395927,2.0704742103632734,0.10413453524125033,-0.18656716417910413,510,1.2249807177691252,0.43536441088842254,3.6617561301606623,2.2181898694710585,0.6578947368421053,3.695828412546236,0.5653294916601187,
11,5,ok,47118,0.755687950289733,0.07621749123581512,1.8724117499881903,0.10441544097946051,-0.18656716417910413,557,1.1480118496956222,0.40852575302396976,3.686799768492335,2.067307584403565,0.6,4.052796497289678,0.501302717699371,
11,6,ok,46356,0.7239643250188567,0.07346590928727803,1.7686990581073814,0.10563270601114733,-0.2034104750304513,575,1.09761825510659,0.361170727693743,3.9148830841855555,1.8765799056438932,0.591304347826087,3.905597395790906,0.4866607784160992,
11,7,ok,40491,0.7200519619819244,0.07348430339252676,1.7693806492270188,0.10633364726565596,-0.20341047503045062,576,1.0932199556099451,0.3612611561991885,3.9760893867381495,1.8481552159673862,0.603448275862069,3.725148968508025,0.4969956943706083,
11,8,ok,44606,0.733299154224665,0.07541654011106091,1.8418553590002391,0.10695292412389626,-0.20341047503045062,599,1.1189465657882876,0.37076035587533546,3.9987095828230492,1.8860219415538948,0.6141732283464567,3.130265407457003,0.4909163406926442,
11,9,ok,40729,0.7155728440577442,0.07359579740598732,1.773515387124958,0.10728531521244007,-0.20341047503045062,575,1.09024909899769,0.3618092794629677,3.876238956704514,1.8986393312696261,0.6341463414634146,2.9741465781159997,0.5111350342102466,
11,10,ok,42937,0.6870251186786812,0.07089096015095997,1.6748098457747096,0.10821929433180975,-0.20341047503045062,576,1.0425195394506754,0.3485118460116057,3.992752464328557,1.7754909873402678,0.6610169491525424,2.774567567816948,0.5388418560751832,
11,11,ok,43768,0.6984498828808057,0.07118527010693465,1.6853891819046911,0.1065929664573138,-0.20398223182759612,646,1.056889713896101,0.34897779806184187,3.9868116306167174,1.7855187729529884,0.6454545454545455,3.235713832483712,0.5358819834479395,
11,12,ok,43704,0.7192868428198492,0.07350301818083271,1.7700742834300245,0.10649415074637238,-0.19416668858747776,647,1.0929933949251174,0.3785562740733329,3.9712951526618006,1.85085760073931,0.6491228070175439,2.8862514176104983,0.527554328664766,
11,13,ok,43329,0.705535570904574,0.07219595627843112,1.7220166828861645,0.10690574066690288,-0.193187901861252,575,1.0693464853782064,0.37370847544212377,3.9096090663013743,1.8466285261285982,0.6386554621848739,2.9037965711024865,0.5142168078345335,
11,14,ok,43275,0.7358687963506062,0.07629226119337473,1.875279778419439,0.10781417259734084,-0.18656716417910435,576,1.1152021158851038,0.4089265199964888,4.095240201868762,1.8629496057047066,0.6521739130434783,3.029792188378738,0.5373719512816566,
11,15,ok,43952,0.7549420239267406,0.07849113312386602,1.9608251427788397,0.10779111033049388,-0.1865671641791048,575,1.1435707407594224,0.42071247354392116,4.070817435712953,1.9281418133682353,0.7264957264957265,2.2227022847900897,0.6034453857569518,
11,16,ok,43779,0.7673502171651356,0.08004588579573824,2.022734175475052,0.1079479680098563,-0.1865671641791048,575,1.162839174398418,0.4290459478651562,4.057797525502413,1.9726436642702476,0.7008547008547008,2.527045795679357,0.5824772263915288,
11,17,ok,47401,0.7483794356495218,0.07769039629082375,1.9294026593590612,0.10773712015601335,-0.1865671641791048,556,1.1310999049500443,0.4164205241188146,4.181199369329764,1.8580887785620543,0.648,2.938318779555524,0.5282036040305856,
